Femur,Patella,QT
0.71,0.7,0.87
0.85,0.52,0.14
0.43,0,0.97
0.52,0.94,0.14
0.28,0.87,0.84
0.3,0,0.9
0.11,0.22,0.94
0.15,0.81,0.93
0.16,0.93,0.95
0.76,0.9,0
0.15,0.11,0.97
0.54,0,0.89
0.88,0.81,0.96
0.49,0.17,0.97
0.51,0.46,0.91
0.66,0.18,0.92
0.5,0.22,0.82
0.47,0,0.73
0.46,0.57,0.96
0.57,0,0.95
0.67,0,0.84
0.82,0.26,0.98
0.63,0,0.9
0.7,0,0.93
0.62,0.82,0.28
0.47,0.11,0.87
0.38,0.79,0.52
0.4,0.11,0.9
0.5,0.12,0.96
0,0,0.27
