Femur,Patella,QT
0.86,0.83,0.89
0.44,0,0.92
0.91,0,0.95
0.82,0,0.29
0.38,0,0.84
0.81,0.41,0.88
0.77,0.11,0.9
0.25,0.26,0.94
0.63,0.65,0.93
0.89,0,0.68
0.93,0.14,0.51
0.37,0.54,0.95
0.92,0.4,0.95
0.7,0,0.95
0.93,0.46,0.11
0.91,0,0.88
0.89,0,0.83
0.72,0,0.74
0.16,0.27,0.94
0.76,0,0.97
0.92,0,0.91
0.91,0.29,0.94
0.85,0.18,0.91
0.87,0,0.32
0.89,0,0.85
0.12,0.83,0.85
0.8,0,0.28
0.45,0.41,0.89
0.8,0,0.97
0.66,0,0.13
