Femur,Patella,QT
87.91585815,0,85.37415252
0,0,11.43564479
0,0,90.49455165
0,0,63.18014585
0,0,0
70.40631961,60.73288468,0
0,0,98.46976648
0,0,10.61703609
0,87.33796772,0
91.23622691,0,0
0,33.0250121,40.83322208
7.761111675,0,0
72.56654251,90.16244071,0.208757926
70.78322646,NaN,99.27488627
0,66.7967776,67.10611552
0,NaN,38.56608711
0,0,0
0,NaN,0
0,29.04903623,34.60362827
0,NaN,0
81.59143784,NaN,0
80.22113295,99.63763428,0
0,0,12.05677319
24.61332916,NaN,0
0,NaN,75.70168868
0,94.72204355,86.49442303
0,NaN,42.84633533
0,0,75.86204892
0,0,0
0,NaN,0
