Femur,Patella,QT
88.36140303,95.42595141,0
0,60.68824082,42.52782593
0,0,98.08639634
0,0,58.0273138
0,0,0
54.16606433,0,0
0,0,0
0,0,18.35379967
0,90.6029631,0
79.49608112,0,0
0,0,3.260739916
0,NaN,60.99578529
90.60711528,85.71246704,1.934460626
83.95674256,0,99.77722285
43.67522665,0,71.46721159
83.83774968,0,24.50555966
0,30.39009508,0
0,NaN,13.21922995
0,25.59923428,0
0,NaN,0
90.46133246,NaN,0
0,75.3361858,6.232565974
0,NaN,13.67480438
0,NaN,0
0,0,97.58480046
0,70.99979107,18.48135791
78.6929162,0,0
0,51.98834132,93.74525282
0,87.68822986,0
0,NaN,0
