All,Femur,Patella,QT,iteration
8.788097082,11.33303934,5.752116908,9.279134994,2999
11.21900679,14.80274581,8.083808089,10.77046647,3999
11.76817378,15.2166168,7.941370901,12.14653364,4999
11.31849947,13.09089189,7.789805592,13.07480093,5999
11.19355225,15.00637825,5.649802894,12.92447559,6999
11.13462473,13.84156493,5.64582522,13.91648403,7999
11.1720568,13.95252038,5.438865997,14.12478404,8999
11.37522044,14.44369205,6.029095019,13.65287426,9999
11.53176437,14.46161044,6.520396519,13.61328615,10999
11.87038446,16.00720513,5.219516696,14.38443155,11999
12.2214537,16.28723098,5.975637094,14.40149302,12999
11.69297665,13.7653222,6.635724264,14.67788349,13999
11.39032187,13.19902192,7.022655033,13.94928867,14999
