Femur,Patella,QT
0.93,0.92,0.95
0.81,0.91,0.94
0.82,0.14,0.97
0.68,0.94,0.17
0.92,0.97,0.65
0.91,0,0.87
0.78,0.42,0.96
0.29,0.8,0.95
0.93,0.94,0.97
0.96,0.97,0.14
0.3,0.13,0.96
0.88,0.32,0.92
0.91,0.84,0.92
0.9,0.37,0.96
0.83,0.94,0.96
0.96,0,0.61
0.91,0.24,0.94
0.88,0.82,0.46
0.65,0.18,0.97
0.86,0,0.97
0.96,0,0
0.16,0.69,0.95
0.89,0,0.93
0.89,0,0.96
0.82,0.17,0.96
0.87,0.94,0.84
0.7,0.96,0.4
0.76,0.15,0.95
0.83,0.73,0.97
0.71,0,0.66
